Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
3473,Bojan Bogdanović,19,2024-03-05,34-322,NYK,,ATL,L 100-116,,31,6,18,0.333,2,7,0.286,4,11,0.364,3,3,1,0.492,1,2,3,0,0,0,2,5,19,6.1,-9.9,-10,G-F,bogdabo02
3474,Malaki Branham,19,2023-12-13,20-215,SAS,,LAL,L 119-122,*,28,8,13,0.615,6,8,0.75,2,5,0.4,1,1,1,0.707,0,3,3,0,1,0,3,1,19,11.6,-2.7,3,G,branhma01
3475,Malaki Branham,19,2024-02-14,20-278,SAS,@,DAL,L 93-116,,21,7,11,0.636,3,6,0.5,4,5,0.8,1,1,1,0.83,1,2,3,1,0,0,1,0,19,15.1,12.6,-2,G,branhma01
3476,Mikal Bridges,19,2023-11-04,27-066,BRK,,BOS,L 114-124,*,38,7,20,0.35,3,9,0.333,4,11,0.364,1,1,1,0.465,2,4,6,4,1,1,0,4,19,13.3,0.3,-9,F-G,bridgmi01
3477,Mikal Bridges,19,2023-12-29,27-121,BRK,@,WAS,L 104-110,*,36,6,14,0.429,4,8,0.5,2,6,0.333,5,7,0.714,0.556,0,5,5,1,1,1,2,2,19,11.9,-3.2,11,F-G,bridgmi01
3478,Mikal Bridges,19,2024-01-27,27-150,BRK,,HOU,W 106-104,*,41,6,14,0.429,3,6,0.5,3,8,0.375,4,6,0.667,0.571,0,5,5,1,3,1,3,3,19,12.5,-1,-5,F-G,bridgmi01
3479,Mikal Bridges,19,2024-03-09,27-192,BRK,@,CHO,L 99-110,*,41,6,18,0.333,2,7,0.286,4,11,0.364,3,3,1,0.492,0,2,2,4,1,0,1,1,19,11.8,-1.3,-10,F-G,bridgmi01
3480,Miles Bridges,19,2023-11-18,25-242,CHO,,NYK,L 108-122,,32,8,12,0.667,7,11,0.636,1,1,1,2,3,0.667,0.713,0,4,4,3,1,1,1,2,19,16.6,3.5,2,G-F,bridgmi02
3481,Miles Bridges,19,2023-12-13,25-267,CHO,@,MIA,L 104-115,*,34,9,19,0.474,8,11,0.727,1,8,0.125,0,0,,0.5,1,4,5,4,2,0,4,2,19,11.2,-7.4,3,G-F,bridgmi02
3482,Miles Bridges,19,2023-12-20,25-274,CHO,@,IND,L 113-144,*,37,8,17,0.471,8,15,0.533,0,2,0,3,4,0.75,0.506,1,3,4,3,3,0,0,2,19,15.8,-1.5,-15,G-F,bridgmi02
3483,Miles Bridges,19,2024-01-17,25-302,CHO,@,NOP,L 112-132,*,35,8,20,0.4,5,13,0.385,3,7,0.429,0,0,,0.475,0,4,4,3,0,0,2,1,19,9.1,-10.4,-12,G-F,bridgmi02
3484,Miles Bridges,19,2024-02-04,25-320,CHO,,IND,L 99-115,*,38,8,23,0.348,7,18,0.389,1,5,0.2,2,2,1,0.398,1,5,6,3,0,1,2,2,19,8.3,-8.6,-24,G-F,bridgmi02
3485,Miles Bridges,19,2024-02-23,25-339,CHO,@,GSW,L 84-97,*,41,8,18,0.444,5,11,0.455,3,7,0.429,0,0,,0.528,3,8,11,3,2,1,3,1,19,15.5,2.6,-17,G-F,bridgmi02
3486,Malcolm Brogdon,19,2023-11-21,30-345,POR,@,PHO,L 107-120,*,25,6,14,0.429,2,9,0.222,4,5,0.8,3,4,0.75,0.603,1,0,1,5,0,0,2,2,19,12.6,4.7,-3,G,brogdma01
3487,Malcolm Brogdon,19,2023-12-26,31-015,POR,,SAC,W 130-113,*,30,7,13,0.538,4,5,0.8,3,8,0.375,2,2,1,0.684,0,5,5,6,0,0,0,1,19,18,6.5,13,G,brogdma01
3488,Malcolm Brogdon,19,2024-01-24,31-044,POR,@,HOU,W 137-131 (OT),*,41,8,19,0.421,5,12,0.417,3,7,0.429,0,0,,0.5,1,1,2,6,0,0,2,2,19,11.3,-7.3,2,G,brogdma01
3489,Dillon Brooks,19,2023-12-20,27-332,HOU,,ATL,L 127-134,*,30,7,9,0.778,2,3,0.667,5,6,0.833,0,0,,1.056,0,2,2,1,2,0,0,5,19,16.8,9.8,1,F-G,brookdi01
3490,Dillon Brooks,19,2024-01-27,28-005,HOU,@,BRK,L 104-106,*,39,7,18,0.389,6,11,0.545,1,7,0.143,4,4,1,0.481,1,4,5,2,1,0,2,6,19,9.1,-3,-3,F-G,brookdi01
3491,Dillon Brooks,19,2024-02-14,28-023,HOU,@,MEM,L 113-121,*,36,5,17,0.294,3,7,0.429,2,10,0.2,7,7,1,0.473,4,6,10,2,2,0,1,3,19,14.9,-1.4,-1,F-G,brookdi01
3492,Bruce Brown,19,2023-11-03,27-080,IND,,CLE,W 121-116,*,37,8,15,0.533,5,9,0.556,3,6,0.5,0,0,,0.633,1,6,7,2,0,0,2,2,19,12.8,-0.8,9,G-F,brownbr01
3493,Bruce Brown,19,2024-01-30,27-168,TOR,@,CHI,W 118-107,*,38,7,13,0.538,6,10,0.6,1,3,0.333,4,4,1,0.644,1,6,7,3,3,2,2,3,19,18.5,3.2,18,G-F,brownbr01
3494,Jaylen Brown,19,2023-12-25,27-062,BOS,@,LAL,W 126-115,*,33,7,17,0.412,6,12,0.5,1,5,0.2,4,7,0.571,0.473,3,2,5,2,3,0,2,3,19,12.6,-4.6,9,F-G,brownja02
3495,Jaylen Brown,19,2024-02-13,27-112,BOS,@,BRK,W 118-110,*,37,7,19,0.368,6,13,0.462,1,6,0.167,4,6,0.667,0.439,1,0,1,4,1,0,4,5,19,6.2,-12.1,9,F-G,brownja02
3496,Jalen Brunson,19,2023-10-31,27-061,NYK,@,CLE,W 109-91,*,34,7,16,0.438,6,13,0.462,1,3,0.333,4,5,0.8,0.522,0,5,5,2,2,0,5,1,19,9.7,-2.8,21,G,brunsja01
3497,Alec Burks,19,2024-01-12,32-176,DET,,HOU,L 110-112,,30,7,14,0.5,2,5,0.4,5,9,0.556,0,0,,0.679,0,0,0,1,0,2,2,3,19,10.9,-0.5,-11,G,burksal01
3498,Jimmy Butler,19,2023-10-25,34-041,MIA,,DET,W 103-102,*,34,6,18,0.333,6,18,0.333,0,0,,7,9,0.778,0.433,8,5,13,4,2,0,0,0,19,19.9,5.5,-3,F-G,butleji01
3499,Jimmy Butler,19,2023-11-12,34-059,MIA,@,SAS,W 118-113,*,37,5,14,0.357,4,11,0.364,1,3,0.333,8,9,0.889,0.529,2,4,6,4,0,1,2,1,19,14.5,-4.5,14,F-G,butleji01
3500,Jimmy Butler,19,2023-12-06,34-083,MIA,@,TOR,W 112-103,*,35,7,16,0.438,6,15,0.4,1,1,1,4,5,0.8,0.522,0,2,2,8,1,0,0,2,19,16.6,1.6,5,F-G,butleji01
3501,Clint Capela,19,2024-01-28,29-255,ATL,,TOR,W 126-125,*,28,9,13,0.692,9,13,0.692,0,0,,1,2,0.5,0.684,6,8,14,0,0,1,0,2,19,19.6,4.2,19,C,capelca01
3502,Wendell Carter Jr.,19,2024-03-03,24-322,ORL,,DET,W 113-91,*,31,5,7,0.714,3,4,0.75,2,3,0.667,7,7,1,0.942,2,6,8,3,1,2,0,1,19,23.4,16.9,31,C,cartewe01
3503,Alex Caruso,19,2023-11-08,29-253,CHI,,PHO,L 115-116 (OT),,31,7,9,0.778,3,4,0.75,4,5,0.8,1,2,0.5,0.962,1,3,4,2,3,2,1,3,19,20.3,16,24,G,carusal01
3504,Jordan Clarkson,19,2024-01-25,31-232,UTA,@,WAS,W 123-108,,30,7,17,0.412,6,13,0.462,1,4,0.25,4,4,1,0.506,0,3,3,8,0,0,4,1,19,12,-5.1,16,G,clarkjo01
3505,Nic Claxton,19,2023-12-16,24-243,BRK,@,GSW,L 120-124,*,33,8,12,0.667,8,12,0.667,0,0,,3,3,1,0.713,5,7,12,1,0,4,2,1,19,20.5,2.9,-5,C,claxtni01
3506,John Collins,19,2024-01-06,26-105,UTA,@,PHI,W 120-109,*,28,9,10,0.9,9,10,0.9,0,0,,1,2,0.5,0.873,1,4,5,2,0,1,1,1,19,17.8,9,7,F,collijo01
3507,John Collins,19,2024-01-08,26-107,UTA,@,MIL,W 132-116,*,27,8,15,0.533,5,8,0.625,3,7,0.429,0,0,,0.633,0,3,3,1,1,0,3,3,19,10.1,-6.9,6,F,collijo01
3508,John Collins,19,2024-01-13,26-112,UTA,,LAL,W 132-125,*,34,7,9,0.778,4,5,0.8,3,4,0.75,2,2,1,0.962,2,11,13,2,3,1,1,5,19,22.3,10.1,18,F,collijo01
3509,John Collins,19,2024-02-29,26-159,UTA,@,ORL,L 107-115,*,36,7,10,0.7,5,7,0.714,2,3,0.667,3,4,0.75,0.808,3,7,10,1,1,0,2,5,19,16.3,2,-3,F,collijo01
3510,John Collins,19,2024-03-09,26-168,UTA,@,DEN,L 121-142,*,33,7,10,0.7,7,10,0.7,0,0,,5,8,0.625,0.703,3,4,7,1,0,0,2,1,19,15.2,-1.8,6,F,collijo01
3511,Zach Collins,19,2023-11-02,25-348,SAS,@,PHO,W 132-121,*,35,7,10,0.7,4,7,0.571,3,3,1,2,2,1,0.873,4,4,8,4,0,0,3,2,19,17.8,1.6,8,C-F,colliza01
3512,Mike Conley,19,2023-12-08,36-058,MIN,@,MEM,W 127-103,*,32,6,11,0.545,4,8,0.5,2,3,0.667,5,5,1,0.72,0,4,4,7,0,0,2,1,19,17.4,3.3,25,G,conlemi01
3513,Mike Conley,19,2024-03-04,36-145,MIN,,POR,W 119-114,*,29,6,13,0.462,4,7,0.571,2,6,0.333,5,5,1,0.625,2,0,2,7,3,0,2,1,19,19.2,8.7,-3,G,conlemi01
3514,Bilal Coulibaly,19,2024-01-31,19-189,WAS,,LAC,L 109-125,*,37,8,16,0.5,7,12,0.583,1,4,0.25,2,3,0.667,0.548,2,2,4,2,1,2,1,2,19,14.6,0.5,-9,F,coulibi01
3515,Ricky Council IV,19,2024-02-10,22-191,PHI,@,WAS,W 119-113,,29,7,13,0.538,7,12,0.583,0,1,0,5,8,0.625,0.575,5,5,10,1,0,0,0,2,19,16.4,0.4,1,G,councri01
3516,Cade Cunningham,19,2024-01-31,22-128,DET,@,CLE,L 121-128,*,31,8,16,0.5,6,12,0.5,2,4,0.5,1,2,0.5,0.563,0,2,2,7,2,1,0,4,19,17.2,3.7,-22,G,cunnica01
3517,Seth Curry,19,2023-12-27,33-126,DAL,,CLE,L 110-113,,28,6,11,0.545,1,2,0.5,5,9,0.556,2,2,1,0.8,1,3,4,1,2,0,0,1,19,17.6,12.4,0,G,curryse01
3518,Anthony Davis,19,2023-11-14,30-248,LAL,,MEM,W 134-107,*,27,7,11,0.636,7,11,0.636,0,0,,5,6,0.833,0.696,4,7,11,5,0,6,2,1,19,23.9,11.6,21,F-C,davisan02
3519,Anthony Davis,19,2023-12-20,30-284,LAL,@,CHI,L 108-124,*,38,7,15,0.467,7,13,0.538,0,2,0,5,8,0.625,0.513,2,12,14,3,2,2,1,1,19,19.2,1.4,-3,F-C,davisan02
3520,DeMar DeRozan,19,2023-11-24,34-109,CHI,@,TOR,L 108-121,*,39,7,16,0.438,7,15,0.467,0,1,0,5,9,0.556,0.476,0,3,3,4,1,1,2,3,19,11.2,-6.7,-31,G-F,derozde01
3521,DeMar DeRozan,19,2023-11-28,34-113,CHI,@,BOS,L 97-124,*,26,7,14,0.5,6,11,0.545,1,3,0.333,4,4,1,0.603,0,2,2,6,0,0,2,2,19,14,1.7,-20,G-F,derozde01
3522,DeMar DeRozan,19,2024-01-10,34-156,CHI,,HOU,W 124-119 (OT),*,43,5,19,0.263,2,13,0.154,3,6,0.5,6,6,1,0.439,0,4,4,4,0,0,1,2,19,9.9,-7.5,-9,G-F,derozde01
3523,DeMar DeRozan,19,2024-02-22,34-199,CHI,,BOS,L 112-129,*,36,7,17,0.412,6,14,0.429,1,3,0.333,4,4,1,0.506,1,3,4,5,1,0,2,2,19,13.2,-2.8,-5,G-F,derozde01
3524,Spencer Dinwiddie,19,2023-11-04,30-212,BRK,,BOS,L 114-124,*,35,8,14,0.571,5,7,0.714,3,7,0.429,0,3,0,0.62,0,6,6,6,0,0,1,1,19,15.8,2.4,-6,G,dinwisp01
3525,Spencer Dinwiddie,19,2024-01-17,30-286,BRK,@,POR,L 103-105,*,32,5,8,0.625,2,4,0.5,3,4,0.75,6,7,0.857,0.857,0,2,2,7,1,0,1,2,19,19.7,8.3,12,G,dinwisp01
3526,Spencer Dinwiddie,19,2024-01-19,30-288,BRK,@,LAL,W 130-112,*,33,5,11,0.455,1,3,0.333,4,8,0.5,5,5,1,0.72,0,3,3,4,1,0,1,1,19,16.6,2.2,10,G,dinwisp01
3527,Donte DiVincenzo,19,2024-01-11,26-345,NYK,@,DAL,L 124-128,*,30,7,13,0.538,2,3,0.667,5,10,0.5,0,0,,0.731,1,3,4,3,2,0,2,4,19,14.8,5.7,-6,G,divindo01
3528,Donte DiVincenzo,19,2024-01-18,26-352,NYK,,WAS,W 113-109,*,38,6,15,0.4,1,3,0.333,5,12,0.417,2,2,1,0.598,0,3,3,3,0,1,3,4,19,10,-1.5,15,G,divindo01
3529,Luka Dončić,19,2024-01-01,24-307,DAL,@,UTA,L 90-127,*,34,6,20,0.3,3,7,0.429,3,13,0.231,4,6,0.667,0.42,0,6,6,14,1,0,4,1,19,14.8,4.1,-17,G-F,doncilu01
3530,Luka Dončić,19,2024-02-05,24-342,DAL,@,PHI,W 118-102,*,36,6,15,0.4,2,5,0.4,4,10,0.4,3,5,0.6,0.552,0,8,8,3,1,0,3,3,19,11.4,-4.5,17,G-F,doncilu01
3531,Luguentz Dort,19,2023-11-06,24-201,OKC,,ATL,W 126-117,*,32,6,10,0.6,4,5,0.8,2,5,0.4,5,5,1,0.779,2,7,9,3,0,2,2,1,19,19,8.6,7,G,dortlu01
3532,Luguentz Dort,19,2024-01-16,24-272,OKC,@,LAC,L 117-128,*,33,6,10,0.6,1,2,0.5,5,8,0.625,2,2,1,0.873,0,1,1,1,0,0,3,2,19,11.6,-0.6,-15,G,dortlu01
3533,Luguentz Dort,19,2024-02-22,24-309,OKC,,LAC,W 129-107,*,31,8,13,0.615,5,7,0.714,3,6,0.5,0,0,,0.731,1,2,3,1,1,2,0,3,19,16.3,6.7,2,G,dortlu01
3534,Ayo Dosunmu,19,2023-12-26,23-343,CHI,,ATL,W 118-113,,35,6,14,0.429,4,10,0.4,2,4,0.5,5,6,0.833,0.571,4,3,7,4,3,0,0,1,19,20.3,8.2,11,G,dosunay01
3535,Ayo Dosunmu,19,2024-02-10,24-024,CHI,@,ORL,L 108-114 (OT),*,39,7,12,0.583,2,4,0.5,5,8,0.625,0,0,,0.792,0,2,2,2,1,0,1,5,19,13.4,2.9,1,G,dosunay01
3536,Anthony Edwards,19,2023-10-28,22-084,MIN,,MIA,W 106-90,*,33,7,15,0.467,4,10,0.4,3,5,0.6,2,2,1,0.598,0,2,2,7,0,0,2,3,19,13.6,2.6,21,G-F,edwaran01
3537,Anthony Edwards,19,2024-01-20,22-168,MIN,,OKC,L 97-102,*,38,6,10,0.6,5,7,0.714,1,3,0.333,6,10,0.6,0.66,0,5,5,5,0,0,5,2,19,12,0.5,-13,G-F,edwaran01
3538,Anthony Edwards,19,2024-03-08,22-216,MIN,@,CLE,L 104-113 (OT),*,42,7,27,0.259,7,20,0.35,0,7,0,5,5,1,0.325,1,4,5,3,1,1,5,3,19,2.4,-11.8,-20,G-F,edwaran01
3539,Dante Exum,19,2023-12-30,28-170,DAL,@,GSW,W 132-122,*,34,8,12,0.667,5,7,0.714,3,5,0.6,0,0,,0.792,0,0,0,5,1,0,1,1,19,16.9,4.8,16,G,exumda01
3540,Dorian Finney-Smith,19,2023-10-30,30-179,BRK,@,CHO,W 133-121,*,31,7,12,0.583,3,3,1,4,9,0.444,1,2,0.5,0.738,1,6,7,1,1,2,1,0,19,17.6,7.2,5,F,finnedo01
3541,Dorian Finney-Smith,19,2024-01-27,30-268,BRK,,HOU,W 106-104,*,31,7,12,0.583,3,4,0.75,4,8,0.5,1,4,0.25,0.69,0,7,7,3,2,2,3,2,19,16,9.1,20,F,finnedo01
3542,Simone Fontecchio,19,2023-12-11,28-002,UTA,@,OKC,L 120-134,*,23,7,11,0.636,4,5,0.8,3,6,0.5,2,2,1,0.8,1,1,2,1,0,4,0,1,19,18.2,12.8,-13,F,fontesi01
3543,De'Aaron Fox,19,2024-01-10,26-021,SAC,@,CHO,W 123-98,*,28,8,14,0.571,5,7,0.714,3,7,0.429,0,2,0,0.638,0,1,1,3,1,1,1,0,19,14.7,4.8,25,G,foxde01
3544,De'Aaron Fox,19,2024-02-05,26-047,SAC,@,CLE,L 110-136,*,35,8,20,0.4,5,11,0.455,3,9,0.333,0,0,,0.475,1,3,4,1,2,1,3,4,19,8.6,-8,-12,G,foxde01
3545,Daniel Gafford,19,2024-02-10,25-132,DAL,,OKC,W 146-111,,17,7,11,0.636,7,11,0.636,0,0,,5,6,0.833,0.696,4,5,9,0,0,1,0,2,19,17.9,6.9,9,C-F,gaffoda01
3546,Darius Garland,19,2023-11-11,23-289,CLE,@,GSW,W 118-110,*,36,6,13,0.462,3,8,0.375,3,5,0.6,4,6,0.667,0.607,2,4,6,4,5,0,4,2,19,17.1,5.6,5,G,garlada01
3547,Darius Garland,19,2023-11-28,23-306,CLE,,ATL,W 128-105,*,38,7,15,0.467,5,10,0.5,2,5,0.4,3,4,0.75,0.567,1,1,2,8,2,0,2,1,19,17.1,1.3,22,G,garlada01
3548,Darius Garland,19,2023-12-14,23-322,CLE,@,BOS,L 107-116,*,36,8,19,0.421,5,12,0.417,3,7,0.429,0,0,,0.5,1,1,2,3,2,0,5,2,19,8.2,-5,-11,G,garlada01
3549,Darius Garland,19,2024-01-31,24-005,CLE,,DET,W 128-121,*,20,7,12,0.583,5,6,0.833,2,6,0.333,3,3,1,0.713,0,0,0,3,2,0,1,1,19,16.1,7.9,-16,G,garlada01
3550,Darius Garland,19,2024-03-03,24-037,CLE,,NYK,L 98-107,*,40,7,14,0.5,2,6,0.333,5,8,0.625,0,0,,0.679,1,3,4,5,2,0,2,1,19,16.7,1.9,-6,G,garlada01
3551,Keyonte George,19,2023-11-27,20-019,UTA,,NOP,W 114-112,*,31,6,14,0.429,3,6,0.5,3,8,0.375,4,6,0.667,0.571,1,4,5,3,2,0,2,0,19,14.8,2.4,-1,G,georgke01
3552,Keyonte George,19,2024-01-08,20-061,UTA,@,MIL,W 132-116,,22,7,13,0.538,3,4,0.75,4,9,0.444,1,1,1,0.707,0,6,6,4,0,0,2,0,19,15.3,4.1,7,G,georgke01
3553,Keyonte George,19,2024-01-13,20-066,UTA,,LAL,W 132-125,,27,5,11,0.455,2,2,1,3,9,0.333,6,6,1,0.696,0,3,3,3,1,0,1,0,19,16.3,4.8,-6,G,georgke01
3554,Keyonte George,19,2024-01-15,20-068,UTA,,IND,W 132-105,,24,6,11,0.545,3,4,0.75,3,7,0.429,4,5,0.8,0.72,0,0,0,5,1,0,2,1,19,15.4,6.4,13,G,georgke01
3555,Keyonte George,19,2024-02-04,20-088,UTA,,MIL,W 123-108,,25,7,13,0.538,2,4,0.5,5,9,0.556,0,0,,0.731,0,10,10,2,0,0,3,2,19,13.3,5.2,16,G,georgke01
3556,Keyonte George,19,2024-02-29,20-113,UTA,@,ORL,L 107-115,*,31,5,12,0.417,3,8,0.375,2,4,0.5,7,7,1,0.63,0,3,3,9,1,0,2,0,19,18.8,7.7,-4,G,georgke01
3557,Paul George,19,2023-10-29,33-180,LAC,,SAS,W 123-83,*,28,8,17,0.471,6,10,0.6,2,7,0.286,1,1,1,0.545,1,3,4,5,5,0,1,1,19,19,11.9,24,F-G,georgpa01
3558,Paul George,19,2023-11-29,33-211,LAC,@,SAC,W 131-117,*,40,7,18,0.389,3,9,0.333,4,9,0.444,1,2,0.5,0.503,0,3,3,7,0,0,1,1,19,13.2,-2.9,14,F-G,georgpa01
3559,Josh Giddey,19,2023-11-16,21-037,OKC,@,GSW,W 128-109,*,26,8,14,0.571,5,11,0.455,3,3,1,0,0,,0.679,2,4,6,1,2,0,3,1,19,14.3,1.9,-3,G,giddejo01
3560,Josh Giddey,19,2024-03-06,21-148,OKC,@,POR,W 128-120,*,32,8,9,0.889,7,7,1,1,2,0.5,2,2,1,0.962,1,5,6,7,1,0,5,3,19,17.8,5.9,17,G,giddejo01
3561,Shai Gilgeous-Alexander,19,2024-01-16,25-188,OKC,@,LAC,L 117-128,*,34,6,16,0.375,6,13,0.462,0,3,0,7,8,0.875,0.487,1,1,2,4,0,2,2,4,19,11.4,-8.6,-19,G,gilgesh01
3562,Rudy Gobert,19,2024-01-17,31-205,MIN,@,DET,W 124-117,*,38,8,11,0.727,8,11,0.727,0,0,,3,4,0.75,0.745,5,11,16,2,0,1,1,4,19,20.4,0.7,12,C,goberru01
3563,Rudy Gobert,19,2024-01-24,31-212,MIN,@,WAS,W 118-107,*,35,7,11,0.636,7,11,0.636,0,0,,5,6,0.833,0.696,7,9,16,1,0,4,0,4,19,23.2,6.1,9,C,goberru01
3564,Rudy Gobert,19,2024-01-27,31-215,MIN,@,SAS,L 112-113,*,37,8,9,0.889,8,9,0.889,0,0,,3,4,0.75,0.883,2,5,7,1,1,1,1,4,19,18.2,0.4,-4,C,goberru01
3565,Eric Gordon,19,2023-12-08,34-348,PHO,,SAC,L 106-114,*,38,7,13,0.538,4,6,0.667,3,7,0.429,2,2,1,0.684,0,0,0,3,2,1,4,3,19,12.3,-1.4,-2,G-F,gordoer01
3566,Eric Gordon,19,2024-02-08,35-045,PHO,,UTA,W 129-115,*,38,7,8,0.875,4,4,1,3,4,0.75,2,2,1,1.07,0,2,2,4,1,1,1,0,19,20.3,6.4,13,G-F,gordoer01
3567,Jalen Green,19,2024-01-27,21-352,HOU,@,BRK,L 104-106,*,33,5,14,0.357,1,5,0.2,4,9,0.444,5,5,1,0.586,1,9,10,1,1,0,1,3,19,14.1,5.1,6,G,greenja05
3568,Jeff Green,19,2024-02-10,37-166,HOU,@,ATL,L 113-122,*,31,6,10,0.6,2,3,0.667,4,7,0.571,3,5,0.6,0.779,1,5,6,2,0,1,5,4,19,11.3,0.3,-20,F,greenje02
3569,Quentin Grimes,19,2023-12-11,23-217,NYK,,TOR,W 136-130,,27,7,11,0.636,2,4,0.5,5,7,0.714,0,0,,0.864,0,3,3,1,0,0,0,0,19,15.7,6.1,10,G,grimequ01
3570,Quentin Grimes,19,2024-01-05,23-242,NYK,@,PHI,W 128-92,,24,6,13,0.462,2,4,0.5,4,9,0.444,3,3,1,0.663,2,6,8,2,1,1,1,3,19,16.4,11.4,37,G,grimequ01
3571,Quentin Grimes,19,2024-01-25,23-262,NYK,,DEN,W 122-84,,23,7,11,0.636,5,6,0.833,2,5,0.4,3,3,1,0.771,0,5,5,0,0,0,2,0,19,13.6,2.5,13,G,grimequ01
3572,Rui Hachimura,19,2023-11-12,25-277,LAL,,POR,W 116-110,*,33,6,10,0.6,5,7,0.714,1,3,0.333,6,6,1,0.752,1,4,5,2,2,0,1,1,19,18.3,4.3,17,F,hachiru01
3573,Tyrese Haliburton,19,2023-10-30,23-243,IND,,CHI,L 105-112,*,36,6,16,0.375,5,8,0.625,1,8,0.125,6,7,0.857,0.498,1,4,5,13,2,0,4,1,19,18.4,4,2,G,halibty01
3574,Tyrese Haliburton,19,2023-12-15,23-289,IND,@,WAS,L 123-137,*,28,7,17,0.412,5,11,0.455,2,6,0.333,3,3,1,0.519,1,1,2,11,0,0,4,2,19,13.8,-2.5,-18,G,halibty01
3575,Tyrese Haliburton,19,2023-12-20,23-294,IND,,CHO,W 144-113,*,28,6,14,0.429,3,5,0.6,3,9,0.333,4,4,1,0.603,1,2,3,13,1,1,4,0,19,19.7,4.1,32,G,halibty01
3576,Tyrese Haliburton,19,2024-03-05,24-005,IND,@,DAL,W 137-120,*,32,8,15,0.533,5,5,1,3,10,0.3,0,0,,0.633,1,5,6,11,0,1,2,2,19,19.5,6.9,18,G,halibty01
3577,Tim Hardaway Jr.,19,2023-10-27,31-225,DAL,,BRK,W 125-120,,30,6,17,0.353,3,10,0.3,3,7,0.429,4,4,1,0.506,1,3,4,1,0,0,1,2,19,10,-6.1,13,G,hardati02
3578,Tim Hardaway Jr.,19,2024-01-05,31-295,DAL,,POR,W 139-103,,27,8,14,0.571,5,7,0.714,3,7,0.429,0,1,0,0.658,0,2,2,4,1,1,2,3,19,13.9,0.8,21,G,hardati02
3579,Tim Hardaway Jr.,19,2024-01-27,31-317,DAL,,SAC,L 115-120,,36,8,17,0.471,5,8,0.625,3,9,0.333,0,0,,0.559,0,4,4,1,0,0,1,2,19,10.4,-5.4,-2,G,hardati02
3580,Tim Hardaway Jr.,19,2024-02-08,31-329,DAL,@,NYK,W 122-108,,30,7,14,0.5,2,4,0.5,5,10,0.5,0,0,,0.679,0,2,2,2,0,0,0,1,19,13.6,0.6,11,G,hardati02
3581,James Harden,19,2024-01-08,34-135,LAC,,PHO,W 138-111,*,30,6,8,0.75,3,4,0.75,3,4,0.75,4,4,1,0.973,0,7,7,10,0,0,3,1,19,21.5,11.2,25,G,hardeja01
3582,James Harden,19,2024-02-07,34-165,LAC,,NOP,L 106-117,*,38,6,11,0.545,1,5,0.2,5,6,0.833,2,3,0.667,0.771,1,7,8,5,1,1,4,2,19,16.5,6.1,-1,G,hardeja01
3583,Jaden Hardy,19,2023-12-11,21-159,DAL,@,MEM,W 120-113,,34,7,15,0.467,2,8,0.25,5,7,0.714,0,0,,0.633,0,0,0,4,1,0,2,1,19,12.7,-0.4,6,G,hardyja02
3584,Jaden Hardy,19,2024-01-05,21-184,DAL,,POR,W 139-103,*,32,8,14,0.571,5,7,0.714,3,7,0.429,0,0,,0.679,2,7,9,9,1,0,4,2,19,18.4,3,11,G,hardyja02
3585,Josh Hart,19,2024-03-08,29-002,NYK,,ORL,W 98-74,*,42,8,12,0.667,5,7,0.714,3,5,0.6,0,0,,0.792,2,5,7,4,0,0,2,2,19,16.7,6.7,23,G,hartjo01
3586,Gordon Hayward,19,2023-10-27,33-218,CHO,,DET,L 99-111,*,34,6,15,0.4,4,11,0.364,2,4,0.5,5,6,0.833,0.539,1,8,9,4,3,0,3,2,19,15.6,2.9,-10,F-G,haywago01
3587,Scoot Henderson,19,2023-12-11,19-311,POR,@,LAC,L 127-132,,30,8,16,0.5,5,12,0.417,3,4,0.75,0,0,,0.594,1,3,4,6,0,2,3,5,19,13.2,-0.9,11,G,hendesc01
3588,Scoot Henderson,19,2024-01-23,19-354,POR,@,OKC,L 109-111,,26,7,18,0.389,5,12,0.417,2,6,0.333,3,3,1,0.492,0,4,4,7,1,0,1,5,19,13.3,2.2,17,G,hendesc01
3589,Tyler Herro,19,2024-01-25,24-005,MIA,,BOS,L 110-143,*,29,7,14,0.5,2,4,0.5,5,10,0.5,0,0,,0.679,0,3,3,6,1,0,1,0,19,17.1,8.4,-24,G,herroty01
3590,Tyler Herro,19,2024-02-13,24-024,MIA,@,MIL,W 123-97,*,30,7,16,0.438,4,8,0.5,3,8,0.375,2,2,1,0.563,0,3,3,5,0,0,1,0,19,14,-1.1,15,G,herroty01
3591,Buddy Hield,19,2023-11-04,30-322,IND,,CHO,L 124-125,,26,7,15,0.467,2,2,1,5,13,0.385,0,1,0,0.615,2,4,6,2,0,2,2,1,19,13.9,3,-1,G-F,hieldbu01
3592,Buddy Hield,19,2023-11-06,30-324,IND,,SAS,W 152-111,,21,7,8,0.875,2,2,1,5,6,0.833,0,0,,1.188,0,2,2,2,1,0,4,1,19,14.8,12.4,22,G-F,hieldbu01
