Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
212,Jerami Grant,37,2024-01-19,29-313,POR,,IND,W 118-115,*,43,14,28,0.5,13,24,0.542,1,4,0.25,8,11,0.727,0.563,1,3,4,3,1,2,1,2,37,26.1,3,2,F,grantje01
213,Tyrese Haliburton,37,2023-11-21,23-265,IND,@,ATL,W 157-152,*,39,11,18,0.611,2,3,0.667,9,15,0.6,6,7,0.857,0.878,1,4,5,16,3,1,6,0,37,39.2,16.2,16,G,halibty01
214,Tobias Harris,37,2024-01-12,31-181,PHI,,SAC,W 112-93,*,36,14,25,0.56,11,18,0.611,3,7,0.429,6,6,1,0.669,3,4,7,3,3,0,3,0,37,30.5,14.6,19,F,harrito02
215,Jaden Ivey,37,2024-02-07,21-359,DET,@,SAC,W 133-120,*,38,13,23,0.565,8,16,0.5,5,7,0.714,6,6,1,0.722,2,4,6,7,0,0,5,3,37,27.4,2.5,10,G,iveyja01
216,Jaren Jackson Jr.,37,2023-12-02,24-078,MEM,@,PHO,L 109-116,*,35,13,21,0.619,11,16,0.688,2,5,0.4,9,10,0.9,0.728,1,8,9,2,1,1,4,4,37,27.7,9.5,-7,F,jacksja02
217,LeBron James,37,2023-11-19,38-324,LAL,,HOU,W 105-104,*,40,14,19,0.737,12,14,0.857,2,5,0.4,7,9,0.778,0.806,1,5,6,8,3,0,2,0,37,37.3,21,2,F-G,jamesle01
218,Damian Lillard,37,2023-11-15,33-123,MIL,@,TOR,W 128-112,*,31,9,18,0.5,5,8,0.625,4,10,0.4,15,16,0.938,0.739,0,4,4,13,2,0,4,1,37,35.5,17.8,25,G,lillada01
219,Donovan Mitchell,37,2023-12-18,27-102,CLE,,HOU,W 135-130 (OT),*,45,14,27,0.519,10,16,0.625,4,11,0.364,5,5,1,0.634,0,1,1,6,0,2,2,5,37,25.6,3.7,4,G,mitchdo01
220,Malik Monk,37,2024-01-03,25-333,SAC,,ORL,W 138-135 (2OT),,46,12,20,0.6,5,7,0.714,7,13,0.538,6,8,0.75,0.787,0,3,3,9,2,1,3,5,37,31.9,13.2,14,G,monkma01
221,Jamal Murray,37,2024-01-07,26-318,DEN,,DET,W 131-114,*,30,14,24,0.583,11,16,0.688,3,8,0.375,6,7,0.857,0.683,2,3,5,4,1,1,1,4,37,29.6,7.3,11,G,murraja01
222,Jamal Murray,37,2024-03-09,27-015,DEN,,UTA,W 142-121,*,37,13,21,0.619,7,12,0.583,6,9,0.667,5,7,0.714,0.768,1,2,3,7,2,0,1,2,37,33.1,6.2,11,G,murraja01
223,Terry Rozier,37,2023-11-30,29-258,CHO,@,BRK,W 129-128,*,40,13,25,0.52,6,16,0.375,7,9,0.778,4,4,1,0.691,0,4,4,13,2,0,3,1,37,33.6,10.2,2,G,roziete01
224,Domantas Sabonis,37,2024-01-09,27-251,SAC,@,DET,W 131-110,*,38,16,21,0.762,15,20,0.75,1,1,1,4,4,1,0.813,5,5,10,13,3,0,5,3,37,39.6,18.6,28,C-F,sabondo01
225,Alperen Sengun,37,2023-12-23,21-151,HOU,@,NOP,W 106-104,*,38,11,21,0.524,10,20,0.5,1,1,1,14,17,0.824,0.65,4,7,11,6,1,1,2,4,37,32.7,16.4,-2,C-F,sengual01
226,Alperen Sengun,37,2024-01-20,21-179,HOU,,UTA,W 127-126 (OT),*,42,15,26,0.577,14,25,0.56,1,1,1,6,10,0.6,0.609,8,6,14,6,1,1,1,4,37,33.9,11.5,-8,C-F,sengual01
227,Cam Thomas,37,2024-01-27,22-106,BRK,,HOU,W 106-104,*,41,11,19,0.579,8,13,0.615,3,6,0.5,12,15,0.8,0.723,0,3,3,3,1,0,5,4,37,24.3,2.9,12,G,thomaca02
228,Coby White,37,2024-03-04,24-017,CHI,@,SAC,W 113-109,*,44,14,19,0.737,9,10,0.9,5,9,0.556,4,5,0.8,0.873,0,5,5,7,1,0,3,3,37,32.1,12.5,4,G,whiteco01
229,Trae Young,37,2024-02-09,25-143,ATL,@,PHI,W 127-121,*,40,10,21,0.476,5,9,0.556,5,12,0.417,12,16,0.75,0.66,0,1,1,12,1,0,7,1,37,27,0.5,5,G,youngtr01
230,Giannis Antetokounmpo,36,2023-11-06,28-335,MIL,@,BRK,W 129-125,*,35,15,27,0.556,14,20,0.7,1,7,0.143,5,6,0.833,0.607,2,10,12,3,1,2,3,1,36,28.2,6.2,15,F-G,antetgi01
231,Giannis Antetokounmpo,36,2024-02-12,29-068,MIL,,DEN,W 112-95,*,30,14,19,0.737,14,19,0.737,0,0,,8,14,0.571,0.715,4,14,18,5,3,2,2,2,36,38,24.7,18,F-G,antetgi01
232,LaMelo Ball,36,2023-11-20,22-090,CHO,,BOS,W 121-118 (OT),*,41,15,27,0.556,10,16,0.625,5,11,0.455,1,1,1,0.656,2,7,9,8,2,1,5,5,36,27.9,10.3,3,G,ballla01
233,Paolo Banchero,36,2023-12-17,21-035,ORL,@,BOS,L 97-114,*,36,14,30,0.467,10,20,0.5,4,10,0.4,4,6,0.667,0.551,2,8,10,1,2,0,4,0,36,22.3,8.8,-11,F,banchpa01
234,Paolo Banchero,36,2024-01-29,21-078,ORL,@,DAL,L 129-131,*,39,13,25,0.52,9,17,0.529,4,8,0.5,6,11,0.545,0.603,3,6,9,7,2,0,3,3,36,28.3,5.9,3,F,banchpa01
235,Paolo Banchero,36,2024-02-14,21-094,ORL,,NYK,W 118-100,*,35,15,20,0.75,9,10,0.9,6,10,0.6,0,0,,0.9,0,6,6,5,1,0,3,0,36,31.3,16.9,5,F,banchpa01
236,Bojan Bogdanović,36,2024-01-03,34-260,DET,@,UTA,L 148-154 (OT),*,43,13,26,0.5,5,11,0.455,8,15,0.533,2,2,1,0.67,1,6,7,5,1,0,1,6,36,26.6,3.9,-5,G-F,bogdabo02
237,Mikal Bridges,36,2024-01-23,27-146,BRK,,NYK,L 103-108,*,37,14,26,0.538,7,13,0.538,7,13,0.538,1,2,0.5,0.67,0,5,5,5,1,0,0,2,36,28.2,16.6,0,F-G,bridgmi01
238,Jaylen Brown,36,2023-10-30,27-006,BOS,@,WAS,W 126-107,*,32,13,24,0.542,5,11,0.455,8,13,0.615,2,4,0.5,0.699,0,6,6,2,3,1,0,3,36,29.3,18.2,32,F-G,brownja02
239,Jalen Brunson,36,2023-12-23,27-114,NYK,,MIL,L 111-130,*,37,15,26,0.577,12,21,0.571,3,5,0.6,3,3,1,0.659,0,3,3,7,0,1,3,2,36,26.5,10.6,-16,G,brunsja01
240,Jalen Brunson,36,2024-02-03,27-156,NYK,,LAL,L 105-113,*,45,15,31,0.484,14,25,0.56,1,6,0.167,5,6,0.833,0.535,2,4,6,10,0,0,3,1,36,26.1,8.1,-5,G,brunsja01
241,Jimmy Butler,36,2023-11-16,34-063,MIA,,BRK,W 122-115,*,35,12,19,0.632,10,14,0.714,2,5,0.4,10,11,0.909,0.755,2,3,5,3,1,3,4,0,36,30.6,10.8,9,F-G,butleji01
