Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
39,Patrick Beverley,PG,34,CHI,22,22,605,2.8,7.1,0.395,1.5,4.8,0.309,1.3,2.3,0.579,0.5,0.9,0.533,1.2,5.2,6.4,4.5,1.4,1,1.1,3.7,7.6,beverpa01
40,Saddiq Bey,SF,23,TOT,77,37,2129,6,14.1,0.422,2.6,7.1,0.361,3.4,7.1,0.483,3.5,4,0.861,1.7,4.5,6.1,2,1.2,0.2,1.2,2.1,18,beysa01
40,Saddiq Bey,SF,23,DET,52,30,1500,5.9,14.5,0.404,2.4,7,0.345,3.5,7.5,0.46,4.3,5,0.861,1.4,4.4,5.8,2,1.2,0.3,1.3,2.1,18.5,beysa01
40,Saddiq Bey,SF,23,ATL,25,7,629,6.2,13.2,0.47,2.9,7.2,0.4,3.3,6,0.552,1.4,1.7,0.862,2.2,4.6,6.9,1.9,1.1,0.1,1,2.1,16.7,beysa01
41,Khem Birch,C,30,TOR,20,0,162,4.2,7.1,0.594,0.2,0.4,0.5,4,6.7,0.6,0.9,1.1,0.8,1.8,3.8,5.6,1.6,1.1,1.1,1.8,5.3,9.6,birchkh01
42,Goga Bitadze,C,23,TOT,38,1,457,5.4,9.8,0.552,0.5,2,0.231,5,7.8,0.636,1.8,3.3,0.548,4.8,6,10.8,3.1,1.3,2,1.7,5,13.2,bitadgo01
42,Goga Bitadze,C,23,IND,21,0,202,4.8,9.3,0.519,0.7,2.5,0.286,4.1,6.8,0.605,2,4.3,0.458,4.5,4.3,8.7,3.2,1.6,1.8,2.1,6.1,12.3,bitadgo01
42,Goga Bitadze,C,23,ORL,17,1,255,5.9,10.3,0.575,0.3,1.7,0.167,5.6,8.6,0.656,1.7,2.5,0.667,5.1,7.3,12.4,3,1,2.3,1.4,4.2,13.8,bitadgo01
43,Bismack Biyombo,C,30,PHO,61,14,874,4.9,8.5,0.578,0,0,,4.9,8.5,0.578,1,2.9,0.357,3.7,7,10.7,2.3,0.7,3.6,2.1,4.7,10.8,biyombi01
44,Buddy Boeheim,SF,23,DET,10,0,90,2,10.8,0.185,1.6,10,0.16,0.4,0.8,0.5,0.8,0.8,1,0.8,1.6,2.4,1.6,0.8,0,0,2.4,6.4,boehebu01
45,Bogdan Bogdanovi?,SG,30,ATL,54,9,1508,6.5,14.6,0.447,3.5,8.6,0.406,3,6,0.506,1.5,1.8,0.831,0.5,3.4,3.9,3.6,1,0.4,1.6,2.1,18,bogdabo01
46,Bojan Bogdanovi?,PF,33,DET,59,59,1893,8.2,16.8,0.488,2.8,6.7,0.411,5.4,10.1,0.539,5.1,5.8,0.884,0.7,3.6,4.2,2.9,0.6,0.2,2.6,2.1,24.2,bogdabo02
47,Bol Bol,PF,23,ORL,70,33,1505,6.2,11.4,0.546,0.7,2.7,0.265,5.5,8.7,0.633,2,2.6,0.759,1.7,8,9.7,1.7,0.7,2,2.7,2.2,15.2,bolbo01
48,Leandro Bolmaro,SF,22,UTA,14,0,68,1.6,10.6,0.15,0,2.1,0,1.6,8.5,0.188,0,0,,2.1,1.6,3.7,3.7,1.6,0.5,3.7,5.3,3.2,bolmale01
49,Devin Booker,SG,26,PHO,53,53,1835,10.3,20.9,0.494,2.2,6.2,0.351,8.2,14.7,0.554,6,7,0.855,0.9,3.8,4.7,5.7,1,0.4,2.8,3.1,28.9,bookede01
50,Brandon Boston Jr.,SF,21,LAC,22,1,248,7.4,17.7,0.418,1.7,4.2,0.414,5.7,13.5,0.419,4.2,5.5,0.763,1,3.3,4.4,2.9,1.3,0,1.7,3,20.8,bostobr01
51,Chris Boucher,PF,30,TOR,76,0,1523,6.2,12.5,0.493,1.5,4.5,0.328,4.7,8,0.585,3,4,0.762,3.7,6.2,10,0.7,1.1,1.5,1,3.4,16.8,bouchch01
52,James Bouknight,SG,22,CHO,34,0,515,4.8,13.5,0.358,2.3,7.6,0.303,2.5,5.9,0.429,1.4,2.1,0.667,0.6,4.5,5,2.9,1,0.3,2.2,3.4,13.4,bouknja01
53,Jamaree Bouyea,PG,23,TOT,5,0,71,3,7.1,0.429,1,3,0.333,2,4.1,0.5,0.5,1,0.5,0.5,2.5,3,2,2,1,2,3,7.6,bouyeja01
53,Jamaree Bouyea,PG,23,MIA,4,0,65,3.3,7.2,0.462,1.1,2.8,0.4,2.2,4.4,0.5,0.6,1.1,0.5,0.6,2.2,2.8,2.2,2.2,1.1,2.2,2.8,8.3,bouyeja01
53,Jamaree Bouyea,PG,23,WAS,1,0,6,0,6,0,0,6,0,0,0,,0,0,,0,6,6,0,0,0,0,6,0,bouyeja01
54,Tony Bradley,C,25,CHI,12,0,33,6.5,13.1,0.5,3.3,5.5,0.6,3.3,7.6,0.429,4.4,4.4,1,1.1,10.9,12,1.1,1.1,1.1,1.1,2.2,20.7,bradlto01
55,Malaki Branham,SG,19,SAS,66,32,1550,6.2,14.2,0.44,1.8,5.9,0.302,4.5,8.3,0.539,1.3,1.6,0.829,0.7,3.6,4.2,2.9,0.8,0.2,1.8,2.7,15.6,branhma01
56,Jarrell Brantley,PF,26,UTA,4,0,39,7.4,12.9,0.571,3.7,8.3,0.444,3.7,4.6,0.8,1.8,1.8,1,0.9,4.6,5.5,2.8,0,1.8,1.8,2.8,20.3,brantja01
57,Christian Braun,SG,21,DEN,76,6,1181,4.4,8.8,0.495,1,2.9,0.354,3.3,5.9,0.565,1.2,2,0.625,1.5,4.1,5.5,1.8,1.2,0.5,1.1,3.1,11,braunch01
58,Mikal Bridges,SF-SG,26,TOT,83,83,2963,7.2,15.4,0.468,2.1,5.4,0.382,5.2,10,0.514,3.8,4.3,0.895,1,3.5,4.4,3.3,1.1,0.7,1.5,1.9,20.3,bridgmi01
58,Mikal Bridges,SF,26,PHO,56,56,2040,6.2,13.5,0.463,1.8,4.6,0.387,4.5,8.9,0.503,2.8,3.1,0.897,1,3.3,4.3,3.5,1.1,0.8,1.4,2,17,bridgmi01
58,Mikal Bridges,SG,26,BRK,27,27,923,9.3,19.6,0.475,2.7,7.1,0.376,6.7,12.6,0.531,6.2,7,0.894,0.9,3.8,4.7,2.8,1,0.6,1.9,1.7,27.5,bridgmi01
59,Oshae Brissett,PF,24,IND,65,2,1083,4.1,10.6,0.386,1.6,5.2,0.31,2.5,5.5,0.457,3.5,4.8,0.717,2.1,5.2,7.2,1.5,1.1,0.4,1.1,2.6,13.2,brissos01
60,Malcolm Brogdon,PG,30,BOS,67,0,1744,7.3,15.1,0.484,2.7,6.1,0.444,4.6,9,0.51,3.3,3.8,0.87,0.9,4.9,5.8,5.1,0.9,0.4,2,2.3,20.6,brogdma01
61,Dillon Brooks,SF,27,MEM,73,73,2214,6.4,16.1,0.396,2.3,7.1,0.326,4,9,0.451,2,2.5,0.779,0.7,3.2,4,3.1,1.1,0.3,1.7,3.9,17,brookdi01
62,Bruce Brown,SF,26,DEN,80,31,2280,5.7,11.7,0.483,1.4,4,0.358,4.2,7.7,0.548,1.8,2.4,0.758,1,4.2,5.2,4.2,1.4,0.8,1.9,3,14.6,brownbr01
63,Greg Brown III,PF,21,POR,16,0,93,4.3,10.8,0.393,0.4,2.7,0.143,3.9,8.1,0.476,1.9,4.6,0.417,0.8,6.6,7.4,1.2,1.5,1.9,2.3,5,10.8,browngr01
64,Jaylen Brown,SF,26,BOS,67,67,2405,10.2,20.7,0.491,2.4,7.3,0.335,7.7,13.4,0.576,3.9,5.1,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.7,brownja02
65,Kendall Brown,SG,19,IND,6,0,40,3.6,6.3,0.571,0,0.9,0,3.6,5.4,0.667,0.9,1.8,0.5,1.8,3.6,5.4,2.7,3.6,0,1.8,8.1,8.1,brownke03
66,Moses Brown,C,23,TOT,36,1,294,7.5,11.8,0.635,0,0,,7.5,11.8,0.635,4,8.8,0.458,7,10,17,0.5,0.5,1.7,1.8,4.8,19,brownmo01
66,Moses Brown,C,23,LAC,34,1,288,7.6,12,0.635,0,0,,7.6,12,0.635,4.1,9,0.458,7.1,10.2,17.4,0.5,0.4,1.7,1.7,4.7,19.4,brownmo01
66,Moses Brown,C,23,BRK,2,0,6,0,0,,0,0,,0,0,,0,0,,0,0,0,0,6,0,6,6,0,brownmo01
67,Sterling Brown,SF,27,LAL,4,0,24,0,6,0,0,3,0,0,3,0,0,0,,4.5,7.5,12,3,4.5,0,0,6,0,brownst02
68,Troy Brown Jr.,SF,23,LAL,76,45,1860,3.9,9,0.43,2.1,5.4,0.381,1.8,3.6,0.505,0.7,0.8,0.872,1.2,4.8,6,1.8,1.1,0.3,0.9,2.3,10.5,browntr01
69,Jalen Brunson,PG,26,NYK,68,68,2379,8.9,18.1,0.491,2,4.9,0.416,6.9,13.2,0.519,4.9,5.9,0.829,0.6,3,3.6,6.4,0.9,0.2,2.1,2.3,24.7,brunsja01
70,Thomas Bryant,C,25,TOT,59,26,1081,7.7,12.3,0.623,0.9,2,0.441,6.8,10.3,0.658,3.1,4.2,0.738,2.9,8.4,11.3,1,0.5,1,1.3,3.4,19.3,bryanth01
