Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
520,Jeenathan Williams,SG,23,POR,5,4,127,6.8,11.1,0.615,0.9,2.3,0.375,6,8.8,0.677,0.6,0.9,0.667,2.8,1.4,4.3,2.8,0.9,0.6,1.1,3.7,15,willije02
521,Kenrich Williams,PF,28,OKC,53,10,1206,5.3,10.3,0.517,1.5,4,0.373,3.9,6.3,0.608,0.5,1.2,0.436,2.9,4.9,7.8,3.1,1.3,0.4,1,3.3,12.7,willike04
522,Mark Williams,C,21,CHO,43,17,828,7,10.9,0.637,0,0,,7,10.9,0.637,2.9,4.2,0.691,4,9.2,13.2,0.8,1.2,2,1.7,4.1,16.8,willima07
523,Patrick Williams,PF,21,CHI,82,65,2323,4.9,10.5,0.464,1.8,4.3,0.415,3.1,6.2,0.498,1.4,1.6,0.857,1.2,3.9,5.1,1.5,1.1,1.1,1.6,2.3,12.9,willipa01
524,Robert Williams,C,25,BOS,35,20,824,5.5,7.4,0.747,0,0,0,5.5,7.4,0.751,1.1,1.8,0.61,4.5,8.2,12.8,2.2,1,2.1,1.5,3,12.2,williro04
525,Vince Williams Jr.,SG,22,MEM,15,1,105,4.1,13.7,0.3,1.4,9.6,0.143,2.7,4.1,0.667,0.7,0.7,1,1.4,3.8,5.1,1.4,2.1,0.7,1.7,4.1,10.3,willivi01
526,Ziaire Williams,SF,21,MEM,37,4,561,5.4,12.6,0.429,1.6,6.2,0.258,3.8,6.4,0.596,1.1,1.4,0.773,1,4,5.1,2.2,0.9,0.4,2.4,3.7,13.5,willizi02
527,Zion Williamson,PF,22,NOP,29,29,956,10.7,17.7,0.608,0.3,0.7,0.368,10.5,16.9,0.618,6.7,9.3,0.714,2.2,5.4,7.6,5,1.2,0.6,3.7,2.4,28.4,willizi01
528,Dylan Windler,SF,26,CLE,3,0,10,7.2,10.8,0.667,3.6,7.2,0.5,3.6,3.6,1,0,0,0,0,0,0,3.6,3.6,0,3.6,0,18,windldy01
529,Justise Winslow,PF,26,POR,29,11,776,3.8,9.2,0.409,0.6,2.1,0.311,3.1,7.1,0.438,0.9,1.3,0.714,2.3,4.5,6.7,4.5,1.4,0.5,2,4.1,9.1,winslju01
530,James Wiseman,C,21,TOT,45,22,867,7.8,14.1,0.558,0.2,0.8,0.2,7.7,13.2,0.58,2.8,4,0.701,3,8.1,11.1,1.2,0.3,1.1,2.1,4.5,18.7,wisemja01
530,James Wiseman,C,21,GSW,21,0,262,8.1,12.9,0.628,0.1,0.3,0.5,8,12.6,0.63,3.6,5.2,0.684,2.5,7.6,10,1.9,0.4,1,1.9,5.4,19.9,wisemja01
530,James Wiseman,C,21,DET,24,22,605,7.7,14.6,0.531,0.2,1.1,0.167,7.6,13.5,0.559,2.5,3.5,0.712,3.3,8.3,11.5,1,0.2,1.2,2.2,4.1,18.1,wisemja01
531,Christian Wood,C,27,DAL,67,17,1738,8.2,15.9,0.515,2.2,5.8,0.376,6,10.1,0.594,4.5,5.8,0.772,1.8,8.4,10.2,2.5,0.6,1.5,2.5,3.5,23.1,woodch01
532,Delon Wright,PG,30,WAS,50,14,1221,4.1,8.6,0.474,1.2,3.5,0.345,2.9,5.1,0.564,1.5,1.8,0.867,1.7,3.6,5.3,5.7,2.7,0.5,1.3,1.7,10.9,wrighde01
533,McKinley Wright IV,PG,24,DAL,27,1,335,4.9,10.5,0.469,1,3,0.321,4,7.5,0.529,1.4,2,0.684,1,4.1,5.1,6.2,0.9,0.5,2,2.6,12.3,wrighmc01
534,Gabe York,SG,29,IND,3,0,56,5.1,13.5,0.381,3.9,11.6,0.333,1.3,1.9,0.667,1.3,1.3,1,0,3.9,3.9,3.2,1.3,0,0,3.2,15.4,yorkga01
535,Thaddeus Young,PF,34,TOR,54,9,795,4.9,9,0.545,0.3,1.5,0.176,4.6,7.4,0.622,0.8,1.2,0.692,3.2,4.3,7.5,3.4,2.4,0.2,1.9,4,10.9,youngth01
536,Trae Young,PG,24,ATL,73,73,2541,8.5,19.7,0.429,2.2,6.5,0.335,6.3,13.2,0.476,8,9.1,0.886,0.8,2.3,3.1,10.5,1.1,0.1,4.3,1.5,27.1,youngtr01
537,Omer Yurtseven,C,24,MIA,9,0,83,6.9,11.7,0.593,1.3,3,0.429,5.6,8.7,0.65,2.2,2.6,0.833,3.5,6.5,10,0.9,0.9,0.9,1.7,6.9,17.3,yurtsom01
538,Cody Zeller,C,30,MIA,15,2,217,6.1,9.8,0.627,0,0.3,0,6.1,9.5,0.649,4,5.8,0.686,4.1,6.5,10.6,1.7,0.5,0.7,2.3,5.5,16.3,zelleco01
539,Ivica Zubac,C,25,LAC,76,76,2170,5.4,8.5,0.634,0,0,0,5.4,8.5,0.637,2.8,3.9,0.697,3.9,8.6,12.5,1.3,0.5,1.6,1.9,3.6,13.6,zubaciv01
